Area,Population,Percent_Population_Aged_55_to_64,Percent_Population_65_and_over,Median_Age,Death_Rate_per_1000,Percent_Urban_Population,Infant_Mortality_Rate,Life_Expectancy,Access_to_Improved_Drinking_Water,Access_to_Improved_Sanitation_Facility,Major_Infectious_Disease_Count,Literacy_Rate,School_Life_Expectancy,GDP_Purchasing_Power,GDP_Agriculture,GDP_Industry,GDP_Services,Labor_Force,Unemployment_Rate,Public_Debt,Access_to_Electricity,Access_to_Internet,Percent_Forest,Physician_Density,Hospital_Bed_Density,Major_Infectious_Disease_Risk,Percent_Obesity,Education_Expenditure,Population_in_Poverty,code,capital_lat,capital_long
652230,36643815,4.01,2.68,19.5,12.7,26,104.3,52.8,70.2,53.2,5,43,10,6.945e+10,23,21.1,55.9,8478000,23.9,7,84.1,13.5,2.07,0.28,0.4,1,5.5,4.1,54.5,AFG,34.5166666667,69.1833333333
28748,3074579,11.94,13.03,34.3,7.1,62.1,10.8,79,96.2,99.8,NA,98.1,15,3.601e+10,21.7,24.2,54.1,1198000,13.8,71.8,100,71.85,28.12,1.22,2.9,NA,21.7,4,14.3,ALB,41.3166666667,19.8166666667
2381740,42972878,7.41,6.17,28.9,4.4,73.7,17.6,77.5,98.7,96,NA,81.4,14,6.3e+11,13.3,39.3,47.4,11820000,11.7,27.5,99.4,59.58,0.8,1.79,1.9,NA,27.4,NA,23,DZA,36.75,3.05
224,49437,9.69,6.9,27.2,5.9,87.2,9.9,74.8,100,99,NA,NA,NA,658000000,27.4,12.4,60.2,17850,29.8,12.2,59,31.3,78.1,NA,NA,NA,NA,NA,NA,ASM,-14.2666666667,-170.7
468,77000,15.91,17.36,46.2,7.7,87.9,3.5,83,100,100,NA,100,NA,3.327e+09,11.9,33.6,54.5,39750,3.7,41,100,91.57,34,3.33,2.5,NA,25.6,3.2,NA,AND,42.5,1.5166666667
1246700,32522339,3.43,2.3,15.9,8.5,66.8,62.3,61.3,65.8,70.1,8,71.1,10,1.936e+11,10.2,61.4,28.4,12510000,6.6,65,40.5,14.34,46.3,0.21,NA,3,8.2,3.4,36.6,AGO,-8.8333333333,13.2166666667
91,18090,12.42,9.78,35.7,4.8,100,3.3,81.8,97.5,99.1,NA,NA,NA,175400000,3,10.5,86.4,6049,8,20.1,NA,81.6,61.1,NA,NA,NA,NA,NA,23,AIA,18.2166666667,-63.05
14200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,ATA,NA,NA
442.6,98179,10.74,8.91,32.7,5.8,24.4,11.1,77.3,96.7,91.7,NA,99,13,2.398e+09,1.8,20.8,77.3,30000,11,86.8,97.4,76,22.3,2.96,2.9,NA,18.9,2.5,NA,ATG,17.1166666667,-61.85
2780400,45479118,9.07,12.13,32.4,7.4,92.1,9,77.8,99.1,NA,NA,99,18,9.221e+11,10.8,28.1,61.1,18000000,8.4,57.6,100,74.29,10.7,3.99,5,NA,28.3,5.5,25.7,ARG,-34.6,-58.3666666667
29743,3021324,14.08,12.6,36.6,9.5,63.3,11.5,75.6,100,93.6,NA,99.7,13,2.834e+10,16.7,28.2,54.8,1507000,18.9,53.5,100,64.74,9.1,4.4,4.2,NA,20.2,2.7,32,ARM,40.1666666667,44.5
180,119428,14.79,15.05,39.9,8.7,43.7,9.8,77.5,98.1,97.7,NA,97.8,14,4.158e+09,0.4,33.3,66.3,51610,7.7,86,95.6,97.17,2.3,NA,NA,NA,NA,6.2,NA,ABW,12.5166666667,-70.0333333333
7741220,25466459,11.35,15.88,37.5,6.9,86.2,3.1,82.7,100,100,NA,NA,23,1.248e+12,3.6,25.3,71.2,12910000,5.6,40.8,100,86.55,16.2,3.68,3.8,NA,29,5.3,NA,AUS,-35.2666666667,149.1333333333
83871,8859449,14.41,19.87,44.5,9.8,58.7,3.3,81.9,100,100,NA,NA,16,4.41e+11,1.3,28.4,70.3,4260000,5.5,78.6,100,87.71,47.2,5.17,7.4,NA,20.1,5.5,3,AUT,48.2,16.3666666667
86600,10205810,11.41,7.29,32.6,7,56.4,21.3,73.6,94.1,95.1,NA,99.8,13,1.722e+11,6.1,53.5,40.4,5118000,5,54.1,100,79.8,11.3,3.45,4.8,NA,19.9,2.5,4.9,AZE,40.3833333333,49.8666666667
13880,337721,10.04,8.67,32.8,7.4,83.2,10.6,73.3,98.9,98.2,NA,NA,NA,1.206e+10,2.3,7.7,90,196900,10.1,54.6,100,85,51.4,2.01,3,NA,31.6,NA,9.3,BHS,25.0833333333,-77.35
760,1505003,6.89,3.36,32.9,2.8,89.5,8.3,79.4,100,100,NA,97.5,15,7.117e+10,0.3,39.3,60.4,831600,3.6,88.5,100,98.64,0.7,0.93,1.7,NA,29.8,2.3,NA,BHR,26.2333333333,50.5666666667
148460,162650853,7.41,6.82,27.9,5.5,38.2,28.3,74.2,98.6,70.9,9,73.9,11,6.903e+11,14.2,29.3,56.5,66640000,4.4,33.1,75.9,15,11.1,0.54,0.8,2,3.6,2,24.3,BGD,23.7166666667,90.4
430,294560,13.91,13.57,39.5,8.8,31.2,9.6,76,98.5,99.2,NA,99.6,15,5.218e+09,1.5,9.8,88.7,144000,10.1,157.3,100,81.76,19.4,2.48,6,NA,23.1,4.7,NA,BRB,13.1,-59.6166666667
207600,9477918,14.45,15.93,40.9,13.1,79.5,3.5,73.8,99.8,99.4,NA,99.8,15,1.794e+11,8.1,40.8,51.1,4381000,0.8,53.4,100,79.13,42.7,5.19,10.8,NA,24.5,4.8,5.7,BLR,53.9,27.5666666667
30528,11720716,13.14,19.21,41.6,9.8,98.1,3.3,81.4,100,100,NA,NA,20,5.292e+11,0.7,22.1,77.2,5324000,7.1,103.4,100,88.66,22.4,3.07,5.7,NA,22.1,6.5,15.1,BEL,50.8333333333,4.3333333333
22966,399598,6.18,4.53,23.9,4.1,46,11.2,75.3,99.2,96.9,NA,NA,13,3.218e+09,10.3,21.6,68,120500,9,99,92.2,47.08,60.6,1.12,1,NA,24.1,7.4,41,BLZ,17.25,-88.7666666667
112622,12864634,3.15,2.39,17,8.4,48.4,58.7,61.4,76.4,36,7,42.4,13,2.539e+10,26.1,22.8,51.1,3662000,1,54.6,41.4,20,40,0.05,0.5,3,9.6,4,36.2,BEN,6.4833333333,2.6166666667
54,71750,16.37,19.74,43.6,9.1,100,2.5,81.7,100,100,NA,NA,12,6.127e+09,0.9,5.3,93.8,33480,7,43,100,98,20,NA,NA,NA,NA,1.5,11,BMU,32.2833333333,-64.7833333333
38394,782318,6.39,6.6,29.1,6.3,42.3,27,72.1,99.7,78.3,NA,66.6,12,7.205e+09,16.2,41.8,42,397900,3.2,106.3,100,48.11,85.5,0.4,1.7,NA,6.4,6.6,12,BTN,27.4666666667,89.6333333333
1098581,11639909,6.06,5.71,25.3,6.3,70.1,32.2,70.4,92.8,78,3,92.5,NA,8.372e+10,13.8,37.8,48.2,5719000,4,49,93,43.83,52.5,1.59,1.3,3,20.2,7.3,38.6,BOL,-16.5,-68.15
51197,3835586,15.24,16.22,43.3,10.2,49,5.2,77.5,99.9,95.4,NA,98.5,14,4.483e+10,6.8,28.9,64.3,1380000,20.5,39.5,100,70.12,42.8,2.16,3.5,NA,17.9,NA,16.9,BIH,43.8666666667,18.4166666667
581730,2317233,5.92,5.56,25.7,9.2,70.9,26.8,64.8,96.9,82.8,4,88.5,13,3.901e+10,1.8,27.5,70.6,1177000,20,14,60.7,47,19.8,0.53,1.8,2,18.9,9.6,19.3,BWA,-24.6333333333,25.9
49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,BVT,NA,NA
8515770,211715973,9.78,9.21,33.2,6.9,87.1,15.9,74.7,98.2,88.3,5,93.2,15,3.248e+12,6.6,20.7,72.7,104200000,12.8,84,100,59.7,61.9,2.17,2.1,3,22.1,6.2,4.2,BRA,-15.7833333333,-47.9166666667
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,IOT,NA,NA
151,37381,12.51,10.09,37.2,5.4,48.5,11,79.2,100,97.5,NA,NA,14,500000000,0.2,6.8,93.1,12770,2.9,NA,NA,43.6,24.3,NA,NA,NA,NA,3.2,NA,VGB,18.4166666667,-64.6166666667
5765,464478,8.34,5.9,31.1,3.8,78.3,8.8,77.9,100,NA,NA,97.2,14,3.387e+10,1.2,56.6,42.3,203600,6.9,2.8,100,94.6,71.8,1.61,2.9,NA,14.1,4.4,NA,BRN,4.8833333333,114.9333333333
110879,6966899,13.15,20.06,43.7,14.6,75.7,8.1,75,100,100,NA,98.4,15,1.535e+11,4.3,28,67.4,3357000,6.2,23.9,100,64.78,36.7,4.03,7.5,NA,25,4.1,23.4,BGR,42.6833333333,23.3166666667
274200,20835401,3.57,3.16,17.9,8.2,30.6,52,62.7,75.6,46.9,8,41.2,9,3.585e+10,31,23.9,44.9,8501000,77,38.1,19.2,16,19.3,0.08,0.4,3,5.6,4.2,40.1,BFA,12.3666666667,-1.5166666667
676578,56590071,8.22,6.04,29.2,7.2,31.1,31.7,69.3,81.8,73.7,8,75.6,10,3.298e+11,24.1,35.6,40.3,22300000,4,33.6,57,30.68,48.2,0.86,1,3,5.8,2.2,25.6,MMR,16.8,96.15
27830,11865821,4.17,3.06,17.7,6.2,13.7,40.1,66.7,80.3,57.4,8,68.4,11,8.007e+09,39.5,16.4,44.2,5012000,NA,51.7,7.6,2.66,6.6,0.1,0.8,3,5.4,4.8,64.6,BDI,-3.4166666667,29.9166666667
4033,583255,7.12,5.48,26.8,5.9,66.7,19.7,73.2,96.2,79.8,NA,86.8,12,3.777e+09,8.9,17.5,73.7,196100,9,125.8,92.6,58.17,21,0.78,2.1,NA,11.8,5.2,30,CPV,14.9166666667,-23.5166666667
181035,16926984,6.44,4.59,26.4,7.3,24.2,43.7,65.9,80.3,65.7,6,80.5,11,6.421e+10,25.3,32.8,41.9,8913000,0.3,30.4,49.8,40,56.5,0.19,1.9,3,3.9,1.9,16.5,KHM,11.55,104.9166666667
475440,27744989,3.87,3.11,18.5,8.1,57.6,51.5,62.3,76.5,57.7,8,77.1,13,8.954e+10,16.7,26.5,56.8,9912000,4.3,36.9,60.1,23.2,41.7,0.09,1.3,3,11.4,3.1,30,CMR,3.8666666667,11.5166666667
9984670,37694085,14.08,18.98,41.8,7.9,81.6,4.3,83.4,100,100,NA,NA,16,1.774e+12,1.6,28.2,70.2,19520000,6.3,89.7,100,91,34.1,2.31,2.5,NA,29.4,5.3,9.4,CAN,45.4166666667,-75.7
264,61944,14.78,14.24,40.5,6.1,100,5.5,81.6,97.4,95.6,NA,98.9,NA,2.507e+09,0.3,7.4,92.3,39000,4,NA,100,79,52.9,NA,NA,NA,NA,NA,NA,CYM,19.3,-81.3833333333
622984,5990855,4.32,3.35,20,12.3,42.2,80.6,54.2,68.5,21.8,10,37.4,7,3.39e+09,43.2,16,40.8,2242000,6.9,52.9,14,4.34,36.2,0.07,1,3,7.5,1.2,62,CAF,4.3666666667,18.5833333333
1284000,16877357,3.24,2.43,16.1,10,23.5,68.6,58.3,55.7,15.3,10,22.3,8,2.862e+10,52.3,14.7,33.1,5654000,NA,52.5,8.8,6.5,9.1,0.04,NA,3,6.1,2.9,46.7,TCD,12.1,15.0333333333
756102,18186770,11.98,11.81,35.5,6.5,87.7,6.2,79.4,100,100,NA,96.4,16,4.521e+11,4.2,32.8,63,8881000,6.7,23.6,100,82.33,21.9,2.44,2.1,NA,28,5.4,14.4,CHL,-33.45,-70.6666666667
9596960,1394015977,12.08,12.34,38.4,8.2,61.4,11.4,76.1,92.8,90.7,6,96.8,14,2.536e+13,7.9,40.5,51.6,806700000,3.9,47,100,54.3,22.3,1.98,4.3,2,6.2,NA,3.3,CHN,39.9166666667,116.3833333333
135,2205,11.66,5.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,NA,NA,NA,NA,NA,NA,NA,CXR,-10.4166666667,105.7166666667
14,596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,CCK,-12.1666666667,96.8333333333
1138910,49084841,9.93,8.39,31.2,5.6,81.4,12.3,76.6,97.3,94.7,4,95.1,15,7.116e+11,7.2,30.8,62.1,25760000,9.3,49.4,99,62.26,54.4,2.11,1.7,2,22.3,4.5,28,COL,4.6,-74.0833333333
2235,846281,4.49,4.08,20.9,6.9,29.4,55,65.7,91,49,NA,58.8,11,1319000000,47.7,11.8,40.5,278500,6.5,32.4,77.8,8.48,1.4,0.27,2.2,NA,7.8,2.5,44.8,COM,-11.7,43.2333333333
2344858,101780263,3.36,2.47,16.7,8.4,45.6,64.5,61,55.2,40.7,20,77,10,6.86e+10,19.7,43.6,36.7,31360000,NA,18.1,17.1,8.62,67.9,0.07,NA,3,6.7,1.5,63,COD,-4.3166666667,15.3
342000,5293070,4.59,3.2,19.5,8.7,67.8,50.7,61.3,83.7,53.9,8,80.3,11,2.939e+10,9.3,51,39.7,2055000,36,130.8,56.6,8.65,65.6,0.16,NA,3,9.6,4.6,46.5,COG,-4.25,15.2833333333
236,8574,14.15,13.37,38.3,9,75.5,11.9,76.6,100,97.6,2,NA,15,299900000,5.1,12.7,82.1,6820,13.1,NA,NA,54,64.6,1.41,NA,2,55.9,4.7,NA,COK,-21.2,-159.7666666667
51100,5097988,9.99,8.76,32.6,4.9,80.8,7.5,79.2,100,97.8,2,97.9,15,8.394e+10,5.5,20.6,73.9,2229000,8.1,48.9,100,74.09,51.5,2.95,1.1,1,25.7,7.4,21.7,CRI,9.9333333333,-84.0833333333
322463,27481086,3.53,2.85,20.3,7.9,51.7,59.1,61.3,79.2,54.5,9,47.2,10,9.716e+10,20.1,26.6,53.3,8747000,9.4,47,64.3,46.82,32.7,0.23,NA,3,10.3,5.1,46.3,CIV,6.8166666667,-5.2666666667
56594,4227746,14.24,21.06,43.9,12.8,57.6,8.6,76.7,100,99,1,99.3,15,1.021e+11,3.7,26.2,70.1,1559000,12.4,77.8,100,72.69,34.4,3,5.5,1,24.4,4.6,19.5,HRV,45.8,16
110860,11059062,14.11,15.8,42.1,9.1,77.2,4.3,79.2,97.4,95.8,3,99.8,14,1.37e+11,4,22.7,73.4,4691000,2.6,47.7,100,57.15,27.3,8.3,5.3,1,24.6,12.8,NA,CUB,23.1166666667,-82.35
444,151345,13.88,16.52,36.7,8.7,89.1,7,79,100,100,NA,NA,18,3.128e+09,0.7,15.5,83.8,73010,13,33.2,100,93.9,0,NA,NA,NA,NA,4.9,NA,CUW,12.1,-68.9166666667
9251,1266676,11.92,12.97,37.9,7,66.8,7.4,79.3,100,99,NA,99.1,15,3.178e+10,2,12.5,85.5,426600,11.1,97.5,100,84.43,18.8,1.95,3.4,NA,21.8,6.4,NA,CYP,35.1666666667,33.3666666667
78867,10702498,12.12,20.23,43.3,10.7,74.1,2.6,79.3,100,100,NA,99,17,3.759e+11,2.3,36.9,60.8,5427000,2.9,34.7,100,80.69,34.4,4.07,6.6,NA,26,5.6,9.7,CZE,50.0833333333,14.4666666667
43094,5869410,12.63,19.91,42,9.5,88.1,3.2,81.2,100,100,NA,NA,19,2.878e+11,1.3,22.9,75.8,2998000,5.7,35.3,100,97.64,12.9,4.01,2.6,NA,19.7,7.6,13.4,DNK,55.6666666667,12.5833333333
23200,921804,5.01,3.97,24.9,7.3,78.1,41.6,64.7,90.3,70.1,5,NA,6,3.64e+09,2.4,17.3,80.2,294600,40,31.8,51.8,55.68,0.2,0.22,1.4,2,13.5,4.5,23,DJI,11.5833333333,43.15
751,74243,10.53,12.12,34.9,8,71.1,9.7,77.7,NA,NA,NA,NA,NA,783000000,22.3,12.6,65.1,25000,23,82.7,100,69.62,59.2,1.12,3.8,NA,27.9,3.4,29,DMA,15.3,-61.4
48670,10499707,8.17,6.29,27.9,6.3,82.5,20.9,72,96.7,95,4,93.8,14,1.73e+11,5.6,33,61.4,4732000,5.1,37.2,100,74.82,40.8,1.56,1.6,2,27.6,NA,30.5,DOM,18.4666666667,-69.9
283561,16904867,7.92,8.15,28.8,5.2,64.2,15,77.5,94,97.1,5,92.8,16,1.93e+11,6.7,32.9,60.4,8086000,4.6,45.4,99.9,57.27,38.9,2.04,1.4,2,19.9,5,21.5,ECU,-0.2166666667,-78.5
1001450,104124440,6.08,4.44,24.1,4.4,42.8,17.1,73.7,100,98.5,4,71.2,13,1.204e+12,11.7,34.3,54,29950000,12.2,103,100,46.92,0.1,0.8,1.4,1,32,NA,27.8,EGY,30.05,31.25
21041,6481102,7.23,7.6,27.7,5.9,73.4,11.8,74.8,97.4,98.3,3,88.5,12,5.117e+10,12,27.7,60.3,2774000,7,67.9,98.6,33.82,13.6,1.57,1.2,2,24.6,3.8,32.7,SLV,13.7,-89.2
28051,836178,4.69,3.92,20.3,7.3,73.1,59.7,65.7,67.6,76.2,7,95.3,NA,3.152e+10,2.5,54.6,42.9,195200,8.6,37.4,67.9,26.24,57.5,0.4,2.1,3,8,NA,44,GNQ,3.75,8.7833333333
117600,6081196,3.8,4,20.3,6.9,41.3,43.3,66.2,57.8,15.7,5,76.6,5,9.402e+09,11.7,29.6,58.7,2710000,5.8,131.2,46.7,1.31,15.1,0.06,0.7,2,5,NA,50,ERI,15.3333333333,38.9333333333
45228,1228624,13.58,21,43.7,12.9,69.2,3.7,77.4,100,100,1,99.8,16,4.165e+10,2.8,29.2,68.1,670200,5.8,9,100,89.36,52.1,3.46,4.7,1,21.2,5.2,21.1,EST,59.4333333333,24.7166666667
17364,1104479,4.36,3.83,23.7,10.1,24.2,42.8,58.6,78.3,85,5,88.4,11,1.16e+10,6.5,45,48.6,427900,28,28.4,65.8,47,31.7,0.33,2.1,1,16.5,7.1,63,SWZ,-26.3166666667,31.1333333333
1104300,108113150,4.42,3.38,19.8,5.9,21.7,35.8,67.5,68.9,14.7,9,51.8,8,2.006e+11,34.8,21.6,43.6,52820000,17.5,54.2,42.9,18.62,12.2,0.1,0.3,3,4.5,4.7,29.6,ETH,9.0333333333,38.7
12173,3198,NA,NA,NA,4.9,78.5,NA,77.9,92,100,NA,NA,NA,206400000,41,20.6,38.4,1850,1,0,NA,98.3,0,NA,NA,NA,NA,NA,NA,FLK,-51.7,-57.85
1393,51628,12,17.41,37.2,8.8,42.4,5.1,80.8,99,100,NA,NA,NA,2001000000,18,39,43,27540,2.2,35,100,97.58,0.1,2.62,4.1,NA,NA,NA,10,FRO,62,-6.7666666667
18274,935974,9.25,7.34,29.9,6.3,57.2,8.8,73.7,93.8,98,2,99.1,NA,8.629e+09,13.5,17.4,69.1,353100,4.5,48.9,98.6,49.97,55.7,0.86,2,2,30.2,3.9,31,FJI,-18.1333333333,178.4166666667
338145,5571665,13.02,22.26,42.8,10.3,85.5,2.5,81.3,100,100,NA,NA,19,2.449e+11,2.7,28.2,69.1,2473000,8.5,61.3,100,88.89,72.9,3.81,3.3,NA,22.2,6.9,NA,FIN,60.1666666667,24.9333333333
551500,67848156,12.47,20.46,41.7,9.6,81,3.2,82.2,100,100,0,NA,15,2.856e+12,1.7,19.5,78.8,30680000,9.4,96.8,100,82.04,29.2,3.26,6,NA,21.6,5.4,14.2,FRA,48.8666666667,2.3333333333
